API NO.,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,HREF,Submitted_Dt,Approved_Dt,Horizontal Wellbore,Acres
12335385,02,WILLEKE A,21H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 02/15/2024 Approved: 03/21/2024,897395,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496975782&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCCLByMop37CJrByKDYgiJAtgxK7gPQx5d2USB1OmcSeTwdj1cE5yCL4ALEHWJbt9nH4aXFruFHWPAPezLjmCSjMcv20yTm4vtG1VWliCBhIx8fDjWVai479CH4wT1Z7H1Oz5PFrx9V1kUiVdDbfI7dPt6bEAjQgDZPOOzjqzXYngnaAb8y06RlWqNLbDRo-jcTJrt4JA9CKqXVTs-dhpN1fkgHn2cxUvvTC7nqL_mrteJmGaTf27cwGmfx4sZ_AxHHZs2bvYIoFAYviooKeNH0bgm4_n2TOL8BXQS4rV8CAAA,2024-02-15,2024-03-21,,572.71
12335388,02,LESKE-MOTL SA A,1H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898019,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065602&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LADLxyMop3bJmgGI4NiC4oA2TIoOW0BfXxpFwVSp3MmkcfT8XhZcA4yCy5APCC2dZtcGN5a7Bp-hAX_MCc9jlEyGrNkPnVkNlw2qi4KRQQJG_n8dKipVHPZofPeDfbFYO9SfJ0Mfv2osi4QqYDepHPo9uFRe09ACWjShMM-7IzG9kxQBfzGTBOXaY02slGj7t-1n8zikTwIqVSpqmruSjgZ64Z4cGkWI7U_vZCr_pq_WivulkH8vX0Lo7YGr278NxBxbNa82SuITGHwrKgogOeS3i0Bt7_vEuc3aid-0F8CAAA,2024-03-07,2024-03-22,Allocation,1048.77
12335389,02,LESKE-MOTL SA B,2H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898020,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065603&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDdOBgFOncpEEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAeEBsqia50O8bbGt-ghn_MGc9DFEyGrNkPnVkNryvVFUUiggSVvJ5e6yoVFPZovPe9fbFYOdS3I0Gv35UWRuIVEBn0iW0h_CkvSegBDRpxP4QXo3G5kLQBviNmTrO0wptZING3b1pP5rZI3kQUqlSbR6nroSzsa6PR5cmMVL70wu56K_5i7XibhnE39vXMGhr8OrGfwMRp3rJm7yCyBQGz4qKAngu6V0TcPv7LnF-A8nzGdtfAgAA,2024-03-07,2024-03-22,Allocation,1048.77
12335390,02,LESKE-MOTL SA C,3H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898021,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065604&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnNnZy7Eo7ofJ_2Ps9irPanV3rVn_NXa9XVMki_t29hsA7p7MZ_A1GHes2bvYKaOAw5GS4KkFPJ75aBy99XifMb9BeUxF8CAAA,2024-03-07,2024-03-22,Allocation,1048.77
12335391,02,LESKE-JUDD-MOTL SA D,4H,MARATHON OIL EF LLC(525398),DE WITT,Submitted: 03/07/2024 Approved: 03/22/2024,898022,Horizontal,New Drill,N,22000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065608&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnNnZq7Eo7ofJ_2Ps9irPanV3rVn_NXa9XVMki_t29hsA7p7MZ_A1GHes2bvYKaOAw5GS4KkFPJ75aBy99XifMbV8Pzz18CAAA,2024-03-07,2024-03-22,Allocation,1428.54
12335392,02,P. FRISBIE B,6H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/19/2024 Approved: 03/28/2024,898259,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497103340&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnN3XwJCx7R-T7tfZ7FWO1Pr_SqP-ev1qqrZZB-b9_CYB3S2Y3_BqIO9Zo3ewU1cRhyMlwUIKeS3y0Dl7-vEuc3sr5b0l8CAAA,2024-03-19,2024-03-28,,320.0
12335393,02,P. FRISBIE B,7H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/25/2024 Approved: 03/28/2024,898369,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497103363&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCDduBgFO3cR9AMRgbFJhQBsmVQch-AP760iwKp0zmTyOPpeLxJSQl6UlKBuiFqqib72L801NbyAAv-gUc7DEkLHouMnzYJF983pioKwwQNG_34sK-4NHPZkg_B9-4JqfM5PY9IXz-qoo1MKqDDfIrtLt7bEBgogTCP1O_iK1pqTgzdgrwwU6dlWpFLYrBkuzcbRlw8sgeljSnN3WyIBY_ofJ_2Ps9irPanV3rVn_NXa9XVMki_t29hsA7p7MZ_A1GHes2bvYKaOAw5GS4KkFPJ75aBy99XifMbEWo82V8CAAA,2024-03-25,2024-03-28,,320.0
12335394,02,P. FRISBIE B,8H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/25/2024 Approved: 03/26/2024,898370,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084975&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HLQDhyMop37CJrByKDYgiJAtgxK7gPQx5d2USB1OmcSeTwdj1cE5yCL4ALEDWJbt9nH4aXFruEHWPAPezTjmCSjMcv20yTm4vtG1VorIkjYyMeHfU2lmssOfQh-cE8We5_T82Tx60eVdZFIGnqbT7HbxXsTAgEVoM0TDrv4ag22J4JugV-YadIyrdElNho0_ZsJk108kgchlarUnZ67Co7W-SHtfZ7FSO1PL-SqP-ev1oqrZZB-b9_CaJzFsxv_DUQcmjVv9gqiUBi8KCo08FLRuyXg8vdV4vwGeEUL6V8CAAA,2024-03-25,2024-03-26,,320.0
12335395,02,LP BUTLER B,13H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/26/2024 Approved: 03/28/2024,898377,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084964&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCCduBgFO3cR9AMRgbFFhQBsmVQch-APr60iwKp0zmTyOPpeLwiOAdZBBcgbhDbus0-Di8tdg0_wIJ_2KMZxyQZjVm2nyYxF983qq4qRQQJG_n4sK-pVHPZoQ_BD-7JYu9zep4sfv2osi4SqYLe5lPsdvHehECABrR5wmEXX63B9kTQLfALM01apjW6xEaDpn8zYbKLR_IgpFJa3em503C0zg9p7_MsRmp_eiFX_Tl_tVZcLYP0e_sWRuMsnt34byDi0Kx5s1cQhcLgRVFRAS-a3i0Bl7-vEuc325Fs4l8CAAA,2024-03-26,2024-03-28,,639.8
12335396,02,LP BUTLER B,14H,BPX OPERATING COMPANY(085408),DE WITT,Submitted: 03/26/2024 Approved: 03/28/2024,898378,Horizontal,New Drill,N,14000,826637,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497084971&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LCNduBgFO3cJkEzGBkUW1AEyJZByX0A-vjSLgqkTudMIo-n4_Gy4BxkFlyAuENs6za5MGxb7Bp-hAX_MCc9jlEyGrNkPnVkNrxvVF0UiggSNvL56VBTqeayQ-e9G-yLwd6l-DoZ_PpRZV0gUgG9SefQ7cOj9p6AEtCkCYd92BmN7Zmge-BXZpq4TGu0kY0adf-m_WQWj-RBSKVK9VDNXQknY90QDy7NYqT2pxdy1V_yV2vFzTKIv7dXMGpr8OLGfwMRx2bNm72CyBQGz4qKAngu6a0IuP59kzi_AT7sxP9fAgAA,2024-03-26,2024-03-28,Stacked Lateral,639.8
